,word,count
0,doe,59132
1,like,45576
2,use,44791
3,people,43702
4,good,42313
5,-pron-,35919
6,india,29493
7,year,27366
8,way,26751
9,think,26587
10,work,26541
11,time,26476
12,know,25473
13,life,21707
14,find,21376
15,want,20573
16,mean,19529
17,start,18788
18,feel,18462
19,job,18107
20,thing,18073
21,learn,17709
22,happen,17577
23,book,16825
24,country,16607
25,person,16137
26,need,15737
27,student,15543
28,world,14949
29,day,14931
30,live,14898
31,difference,14718
32,company,14636
33,engineer,14300
34,new,13960
35,study,13948
36,possible,13939
37,college,13862
38,school,13493
39,change,13466
40,long,13181
41,write,12828
42,quora,12458
43,indian,12447
44,old,12411
45,love,12391
46,friend,12341
47,girl,12074
48,high,11977
49,﻿1,11933
