,word,count
0,doe,81429
1,people,73167
2,like,66353
3,use,60183
4,good,56910
5,-pron-,51378
6,india,42291
7,think,40010
8,year,37504
9,way,36108
10,time,35938
11,know,35575
12,work,35411
13,want,30461
14,life,29226
15,find,28923
16,mean,26421
17,feel,26146
18,country,25739
19,start,25320
20,thing,24639
21,job,23929
22,happen,23779
23,woman,23500
24,indian,23271
25,learn,23172
26,world,22571
27,book,22044
28,person,22010
29,man,21524
30,need,21488
31,live,20879
32,student,20567
33,day,20438
34,quora,20370
35,girl,19857
36,difference,19311
37,new,19130
38,company,19129
39,trump,19104
40,possible,18608
41,engineer,18507
42,school,18213
43,study,18178
44,college,18175
45,change,18169
46,old,17919
47,long,17788
48,love,17609
49,write,16991
